feature,importance
DEP_DELAY,0.706311032581122
DISTANCE,0.09528045782897737
HOUR_OF_DAY,0.047065260479698105
DAY_OF_WEEK,0.028060052849436884
DEST_CASES_PERC,0.025341228571791406
ORIGIN_CASES_PERC,0.024818022541684984
DEST_CASES_INCREASE_7,0.021633238436177402
ORIGIN_CASES_INCREASE_7,0.020672476298288563
MONTH,0.011967194814109468
MKT_UNIQUE_CARRIER_AA,0.0029491757159809838
MKT_UNIQUE_CARRIER_DL,0.0029208823971170346
MKT_UNIQUE_CARRIER_UA,0.002884926131002613
MKT_UNIQUE_CARRIER_WN,0.002331135971932098
MKT_UNIQUE_CARRIER_AS,0.001792783099042763
MKT_UNIQUE_CARRIER_B6,0.0016473920950839346
MKT_UNIQUE_CARRIER_NK,0.0013635405283160637
MKT_UNIQUE_CARRIER_F9,0.0013264099097312165
MKT_UNIQUE_CARRIER_G4,0.00093180114501461
MKT_UNIQUE_CARRIER_HA,0.0007029886054924266
